Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
ChemCup 2024 Highlights | UZH, Department of Chemistry ;562;562;9 months;2 minutes, 56 seconds;0;2 minutes;56 seconds;0;2;56
Just ask, we answer | Printing? How to @UZH! ;561;561;5 years;1 minute, 27 seconds;0;1 minute;27 seconds;0;1;27
Aufgefallen: UZH Alumnus Rolf Dörig ;559;559;5 years;2 minutes, 33 seconds;0;2 minutes;33 seconds;0;2;33
«100 Ways of Thinking» mit Artur Zmijewski ;554;554;6 years;1 minute, 59 seconds;0;1 minute;59 seconds;0;1;59
The Una Europa General Assembly at the University of Zurich | June 2024 ;550;550;9 months;2 minutes, 17 seconds;0;2 minutes;17 seconds;0;2;17
Pandemiefonds der Universität Zürich ;548;548;4 years;2 minutes, 13 seconds;0;2 minutes;13 seconds;0;2;13
Willkommen, liebe Erstsemestrige ;545;545;8 years;1 minute, 23 seconds;0;1 minute;23 seconds;0;1;23
„Mir gefällt, dass man sich mit vielen unterschiedlichen Leuten austauschen kann“ | Student Stories ;543;543;2 years;3 minutes, 18 seconds;0;3 minutes;18 seconds;0;3;18
UZH Studie zur Immunantwort gegen das Coronavirus / Antibody response to the Sars-CoV-2 virus ;542;542;4 years;1 minute, 9 seconds;0;1 minute;9 seconds;0;1;9
Talk im Turm: Göttlicher Rausch. Von griechischem Wein und Maniokbier. ;538;538;10 years;1 hour, 21 minutes;1 hour;21 minutes;0;1;21;0
Forschung an der Klinik für Zoo-, Heim- und Wildtiere Vetsuisse-Fakultät der Universität Zürich ;536;536;9 years;6 minutes, 4 seconds;0;6 minutes;4 seconds;0;6;4
UZH Christmas Video ;533;533;7 years;50 seconds;0;FALSE;0;0;0;50
«Fünf Fragen an die Sammlungen» | Werkstattreihe Völkerkundemuseum | Universität Zürich ;532;532;1 year;16 minutes;0;16 minutes;0;0;16;0
Was war 2011 deine wichtigste Erkenntnis? ;532;532;13 years;4 minutes, 34 seconds;0;4 minutes;34 seconds;0;4;34
Der Körper - Ich oder Mein ;525;525;3 years;14 minutes, 48 seconds;0;14 minutes;48 seconds;0;14;48
Botschaft von Gabriele Siegert an die Mitarbeitenden der UZH ;522;522;5 years;2 minutes, 18 seconds;0;2 minutes;18 seconds;0;2;18
Aufgefallen: UZH-Alumna Doris Leuthard, Teil 3 ;521;521;5 years;2 minutes, 22 seconds;0;2 minutes;22 seconds;0;2;22
Zürcher Kunstskandal von 1914/1915 ;521;521;10 years;10 minutes, 9 seconds;0;10 minutes;9 seconds;0;10;9
Aufgefallen: UZH Alumna Ingrid Deltenre ;515;515;5 years;2 minutes, 25 seconds;0;2 minutes;25 seconds;0;2;25
Astrophysiker an der Streetparade ;510;510;13 years;2 minutes, 47 seconds;0;2 minutes;47 seconds;0;2;47
UZH Season's Greetings 2016 ;509;509;8 years;45 seconds;0;FALSE;0;0;0;45
Digital Entrepreneurship Bootcamp 2020 - UZH Innovation Hub ;504;504;4 years;1 minute, 8 seconds;0;1 minute;8 seconds;0;1;8
Programming the Global Brain ;504;504;12 years;6 minutes, 28 seconds;0;6 minutes;28 seconds;0;6;28
Merci, Gabriele Siegert! ;500;500;4 years;1 minute, 58 seconds;0;1 minute;58 seconds;0;1;58
UZH Studie zur Ausbreitung des Coronavirus / Study on the spread of the coronavirus in Switzerland ;500;500;4 years;1 minute, 35 seconds;0;1 minute;35 seconds;0;1;35
Zwischenbericht Covid-19-Forschung: Ausbreitung des Coronavirus ;499;499;4 years;5 minutes, 19 seconds;0;5 minutes;19 seconds;0;5;19
Melanie Generali | UZH 3R Award ;495;495;1 year;3 minutes, 3 seconds;0;3 minutes;3 seconds;0;3;3
Innovators Camp 2021 ;494;494;3 years;2 minutes, 37 seconds;0;2 minutes;37 seconds;0;2;37
Matterhorn ;494;494;9 years;2 minutes, 34 seconds;0;2 minutes;34 seconds;0;2;34
Supranational banking rules - the hurdle race ;492;492;3 years;2 minutes, 28 seconds;0;2 minutes;28 seconds;0;2;28
Serie «Lieblingsorte im 100-jährigen Hauptgebäude», Teil 1 ;489;489;10 years;2 minutes, 7 seconds;0;2 minutes;7 seconds;0;2;7
Kleine Helfer – Was neue Medikamente können ;474;474;8 years;1 hour, 23 minutes;1 hour;23 minutes;0;1;23;0
Studie zu Altersheimen in Zürich ;464;464;11 years;9 minutes, 12 seconds;0;9 minutes;12 seconds;0;9;12
Paul Karrer - Nobel Prize in Chemistry 1937 ;460;460;4 years;5 minutes, 24 seconds;0;5 minutes;24 seconds;0;5;24
Lehre an der UZH: Logistiker*in ;459;459;2 years;3 minutes, 8 seconds;0;3 minutes;8 seconds;0;3;8
Professorinnen-Apéro an der Universität Zürich ;452;452;12 years;4 minutes, 17 seconds;0;4 minutes;17 seconds;0;4;17
UZH's international partner universities ;449;449;6 years;2 minutes, 49 seconds;0;2 minutes;49 seconds;0;2;49
The Largest Shark That Ever Lived | UZH Spotlight ;448;448;2 years;52 seconds;0;FALSE;0;0;0;52
Gleichstellung an der UZH ;448;448;9 years;12 minutes, 18 seconds;0;12 minutes;18 seconds;0;12;18
Andreas Kellerhals zu Winston Churchill ;447;447;8 years;2 minutes, 34 seconds;0;2 minutes;34 seconds;0;2;34
Giuseppe Esposito | UZH 3R Award ;439;439;1 year;2 minutes, 55 seconds;0;2 minutes;55 seconds;0;2;55
🚀 Coaching - Digital Entrepreneurship Bootcamp 2021 ;438;438;3 years;2 minutes, 8 seconds;0;2 minutes;8 seconds;0;2;8
Lehre an der UZH: Informatiker*in Fachrichtung Plattformentwicklung ;437;437;10 months;3 minutes, 22 seconds;0;3 minutes;22 seconds;0;3;22
UZI5 – Die fünfte Bauetappe des neue Chemiegebäude am Campus Irchel (Voller Film) ;437;437;7 years;5 minutes, 44 seconds;0;5 minutes;44 seconds;0;5;44
A Warm Welcome to All News Students! ;435;435;8 years;1 minute, 13 seconds;0;1 minute;13 seconds;0;1;13
Video-Serie «Lieblingsorte» im 100-jährigen Hauptgebäude, Teil 6: Lichterlöschen ;433;433;10 years;4 minutes, 7 seconds;0;4 minutes;7 seconds;0;4;7
Ökologischer Neubau für die Zahnmedizin ;427;427;4 years;2 minutes, 20 seconds;0;2 minutes;20 seconds;0;2;20
Von der Forschung zur Innovation: Recht - Medizin - Technologie ;425;425;3 years;2 minutes, 55 seconds;0;2 minutes;55 seconds;0;2;55
Aufgefallen: UZH Alumnus Alex Rübel ;423;423;5 years;2 minutes, 49 seconds;0;2 minutes;49 seconds;0;2;49
Just ask, we answer | Want coffee? It’s close! ;421;421;5 years;2 minutes, 47 seconds;0;2 minutes;47 seconds;0;2;47
Impressionen Wissenschaftstage Scientifica 2015 ;421;421;9 years;3 minutes, 56 seconds;0;3 minutes;56 seconds;0;3;56
Learn how to shape the world ;420;420;5 years;1 minute, 13 seconds;0;1 minute;13 seconds;0;1;13
Just ask, we answer | Working and studying? ;417;417;5 years;2 minutes, 18 seconds;0;2 minutes;18 seconds;0;2;18
Vorschau auf das Zürcher Philosophie Festival ;417;417;6 years;2 minutes, 28 seconds;0;2 minutes;28 seconds;0;2;28
Hochpräzises Bestrahlungsgerät am Tierspital rettet Tierleben ;414;414;3 years;2 minutes, 9 seconds;0;2 minutes;9 seconds;0;2;9
Innovation an der Universität Zürich ;409;409;3 years;1 minute, 46 seconds;0;1 minute;46 seconds;0;1;46
Hedi-Fritz-Niggli-Gastprofessorinnen ;408;408;9 years;7 minutes, 30 seconds;0;7 minutes;30 seconds;0;7;30
Bundespräsident Johann Schneider-Ammann an der UZH ;404;404;8 years;2 minutes, 40 seconds;0;2 minutes;40 seconds;0;2;40
Men Are Leaving Feminizing Occupations | UZH Spotlight ;402;402;2 years;53 seconds;0;FALSE;0;0;0;53
Studi-Schwinget ;401;401;10 years;4 minutes, 57 seconds;0;4 minutes;57 seconds;0;4;57
Standort Schlieren der UZH ;399;399;11 years;8 minutes, 54 seconds;0;8 minutes;54 seconds;0;8;54
Serie «Lieblingsorte im 100-jährigen Hauptgebäude», Teil 2 ;393;393;10 years;3 minutes, 30 seconds;0;3 minutes;30 seconds;0;3;30
10 Jahre Alumni UZH ;385;385;8 years;2 minutes, 44 seconds;0;2 minutes;44 seconds;0;2;44
Season's Greetings 2019 ;384;384;5 years;49 seconds;0;FALSE;0;0;0;49
Studieninformationstage 2017 ;382;382;7 years;47 seconds;0;FALSE;0;0;0;47
Commercial Dishwashers and Gut Health | UZH Spotlight ;381;381;2 years;44 seconds;0;FALSE;0;0;0;44
Auszeichnung für medizinische Forschung: Georg Friedrich Götz-Preis 2019 ;377;377;4 years;6 minutes, 52 seconds;0;6 minutes;52 seconds;0;6;52
Black Holes ;375;375;8 years;1 minute, 55 seconds;0;1 minute;55 seconds;0;1;55
Hochschultag der Zürcher Mittelschulen ;373;373;13 years;5 minutes, 7 seconds;0;5 minutes;7 seconds;0;5;7
Was machen wir bloss mit all den Expert*innen? ;371;371;4 years;7 minutes, 50 seconds;0;7 minutes;50 seconds;0;7;50
Kann man Stimmen klonen? / Is It Possible to Clone a Voice? ;362;362;5 years;1 minute, 50 seconds;0;1 minute;50 seconds;0;1;50
What It's Like to Study Abroad | Global Student Experience ;355;355;2 years;4 minutes, 55 seconds;0;4 minutes;55 seconds;0;4;55
Talk im Turm: Bakterien ;355;355;10 years;1 hour, 20 minutes;1 hour;20 minutes;0;1;20;0
Chancengleichheit an Top-Universitäten ;345;345;6 years;2 minutes, 59 seconds;0;2 minutes;59 seconds;0;2;59
The art of learning | UZH Spotlight ;344;344;2 years;51 seconds;0;FALSE;0;0;0;51
The Secrets of Kidneys ;335;335;6 years;3 minutes, 40 seconds;0;3 minutes;40 seconds;0;3;40
🚀 This was the Digital Entrepreneurship Bootcamp 2022 ;333;333;2 years;2 minutes, 20 seconds;0;2 minutes;20 seconds;0;2;20
Wie wird Wissenschaft relevant? | Antrittsvorlesungen als Podium ;332;332;3 years;56 minutes;0;56 minutes;0;0;56;0
Wird Virtual Reality bei Kriminalverfahren eingesetzt? / Is VR used in criminal proceedings? ;328;328;5 years;2 minutes, 8 seconds;0;2 minutes;8 seconds;0;2;8
UZH Lehrpreis 2019: Chatchavan Wacharamanotham ;325;325;4 years;1 minute, 43 seconds;0;1 minute;43 seconds;0;1;43
Marias Jungfrauengeburt | UZH Spotlight ;324;324;2 years;53 seconds;0;FALSE;0;0;0;53
Der Papaya auf der Spur: Umwelteinflüsse könnten die Papayaproduktion beeinträchtigen ;324;324;3 years;7 minutes, 36 seconds;0;7 minutes;36 seconds;0;7;36
We are nothing without each other | UZH Spotlight ;322;322;2 years;48 seconds;0;FALSE;0;0;0;48
G'day Alumni UZH @Sydney! ;318;318;9 years;1 minute, 38 seconds;0;1 minute;38 seconds;0;1;38
Master Program in Biostatistics ;315;315;1 year;2 minutes, 10 seconds;0;2 minutes;10 seconds;0;2;10
Jahr der Chemie 2011 ;315;315;13 years;3 minutes, 55 seconds;0;3 minutes;55 seconds;0;3;55
Mitreden mit dem Clicker ;314;314;13 years;3 minutes, 54 seconds;0;3 minutes;54 seconds;0;3;54
UZH Innovation Hub | This was our 2022 ;310;310;2 years;1 minute;0;1 minute;0;0;1;0
Wird Künstliche Intelligenz bald Ärztinnen und Ärzte ersetzen? / Will AI replace physicians? ;310;310;5 years;2 minutes, 2 seconds;0;2 minutes;2 seconds;0;2;2
Naturschutzprojekte an der UZH ;303;303;12 years;4 minutes, 57 seconds;0;4 minutes;57 seconds;0;4;57
UZH Season's Greetings 2015 ;301;301;9 years;55 seconds;0;FALSE;0;0;0;55
Language Beats ;295;295;3 years;2 minutes, 31 seconds;0;2 minutes;31 seconds;0;2;31
Ideen für eine lebenswertere Zukunft: Sonntagsbraten fürs Klima / Living climate-friendly ;295;295;5 years;3 minutes, 18 seconds;0;3 minutes;18 seconds;0;3;18
Geld grün anlegen / Green Investment ;295;295;5 years;2 minutes, 58 seconds;0;2 minutes;58 seconds;0;2;58
What If Our History Was Written In Our Grammar? ;290;290;3 years;2 minutes, 16 seconds;0;2 minutes;16 seconds;0;2;16
Serie «Lieblingsorte im 100-jährigen Hauptgebäude», Teil 3 ;289;289;10 years;3 minutes, 25 seconds;0;3 minutes;25 seconds;0;3;25
Robot Dog on Its Way to the Moon | UZH Spotlight ;278;278;2 years;43 seconds;0;FALSE;0;0;0;43
How to Quarrel Constructively | UZH Spotlight ;277;277;2 years;53 seconds;0;FALSE;0;0;0;53
Frühe arabische Fotografie ;275;275;13 years;3 minutes, 19 seconds;0;3 minutes;19 seconds;0;3;19
Die Folgen von tiefer genetischen Vielfalt für Schweizer Steinböcke ;273;273;2 years;3 minutes, 19 seconds;0;3 minutes;19 seconds;0;3;19
Coaching - Digital Entrepreneurship Bootcamp 2020 ;270;270;4 years;1 minute, 41 seconds;0;1 minute;41 seconds;0;1;41
Rechtsfolgen missbräuchlicher Allgemeinen Geschäftsbedingungen (AGB) (2019) ;268;268;4 years;4 minutes, 54 seconds;0;4 minutes;54 seconds;0;4;54
Serie «Lieblingsorte im 100-jährigen Hauptgebäude», Teil 5 ;268;268;10 years;4 minutes;0;4 minutes;0;0;4;0
Genetics as a Conservation Tool for Endangered Chimpanzees 🧬💡 | UZH Spotlight ;267;267;2 years;57 seconds;0;FALSE;0;0;0;57
FilmColors: A research project to preserve film heritage ;267;267;5 years;1 minute, 29 seconds;0;1 minute;29 seconds;0;1;29
Von der Forschung zur Innovation: Virtuelle Realität zur Schmerzbekämpfung ;257;257;3 years;2 minutes, 52 seconds;0;2 minutes;52 seconds;0;2;52
Kunst & Literatur vor Gericht: Ringvorlesung an der Universität Zürich ;247;247;6 years;1 minute, 12 seconds;0;1 minute;12 seconds;0;1;12
Global Dimensions of Everyday Life in the Southern Alps, 1650s-1790s ;244;244;4 years;3 minutes, 8 seconds;0;3 minutes;8 seconds;0;3;8
The State of Play of University Autonomy | Una.Lecture at UZH ;242;242;1 year;1 minute, 46 seconds;0;1 minute;46 seconds;0;1;46
Frauen in Schweizer Medien deutlich unterrepräsentiert ;241;241;3 years;1 minute, 21 seconds;0;1 minute;21 seconds;0;1;21
UZH Surf Wave Summer 2019 ;237;237;5 years;1 minute;0;1 minute;0;0;1;0
Wertvolles Geschenk an die UZH ;236;236;10 years;2 minutes, 31 seconds;0;2 minutes;31 seconds;0;2;31
"""I analyze criminal recordings"" – Honorary Doctor Faculty of Arts and Social Sciences ";233;233;2 years;3 minutes, 16 seconds;0;3 minutes;16 seconds;0;3;16
Aufgefallen: Bankengründer Daniel Muntwyler ;233;233;5 years;2 minutes, 19 seconds;0;2 minutes;19 seconds;0;2;19
"Ringvorlesung ""Keller im Kontext"" FS2019 ";231;231;6 years;1 minute, 26 seconds;0;1 minute;26 seconds;0;1;26
Grenzverschiebungen zwischen Öffentlichkeit und Privatem | Antrittsvorlesungen als Podium ;229;229;3 years;52 minutes;0;52 minutes;0;0;52;0
Wissenschaftsbarometer Schweiz 2016 ;229;229;8 years;2 minutes, 6 seconds;0;2 minutes;6 seconds;0;2;6
Sustainable Universities: Expert talk ;227;227;4 years;35 minutes;0;35 minutes;0;0;35;0
Benjamin Ineichen | UZH 3R Award | Animal Welfare ;225;225;1 month;3 minutes, 20 seconds;0;3 minutes;20 seconds;0;3;20
Marktgefühle - Finanzanalyse als kulturelle Praxis (2017) ;223;223;4 years;3 minutes, 59 seconds;0;3 minutes;59 seconds;0;3;59
«Parldigi MasterClass» im Bundeshaus / at the Federal Palace ;222;222;3 years;2 minutes, 18 seconds;0;2 minutes;18 seconds;0;2;18
Scientifica 2019 ;222;222;5 years;45 seconds;0;FALSE;0;0;0;45
Fighting Back Against the Data Leviathans | UZH Spotlight ;220;220;2 years;50 seconds;0;FALSE;0;0;0;50
Modulating Sleep 💤 | UZH Research Spotlight ;215;215;1 year;1 minute, 25 seconds;0;1 minute;25 seconds;0;1;25
The power of sleep | UZH Spotlight ;215;215;2 years;49 seconds;0;FALSE;0;0;0;49
Get to know the School for Transdisciplinary Studies at the University of Zurich ;214;214;2 months;2 minutes, 16 seconds;0;2 minutes;16 seconds;0;2;16
🚀 Kickoff - Digital Entrepreneurship Bootcamp 2021 ;213;213;3 years;2 minutes, 9 seconds;0;2 minutes;9 seconds;0;2;9
Mit welchem Preisschild darf ein Menschenleben angeschrieben werden? ;212;212;4 years;9 minutes, 11 seconds;0;9 minutes;11 seconds;0;9;11
Business Idea - Digital Entrepreneurship Bootcamp 2020 ;211;211;4 years;1 minute, 8 seconds;0;1 minute;8 seconds;0;1;8
Cas9 - Biochemie (2015) ;211;211;4 years;2 minutes, 57 seconds;0;2 minutes;57 seconds;0;2;57
Impressionen von Zurich meets Hong Kong ;205;205;7 years;1 minute, 43 seconds;0;1 minute;43 seconds;0;1;43
School Ambassador Alex Butschi ;196;196;13 years;3 minutes, 40 seconds;0;3 minutes;40 seconds;0;3;40
Petra Seebeck | UZH 3R Award | Animal Welfare ;195;195;1 month;2 minutes, 47 seconds;0;2 minutes;47 seconds;0;2;47
Eine Ikone entsteht: Der Neubau FORUM UZH ;190;190;1 month;40 seconds;0;FALSE;0;0;0;40
Satellite Monitoring of Biodiversity Moves Within Reach | UZH Spotlight ;189;189;2 years;39 seconds;0;FALSE;0;0;0;39
UZH Innovation Hub an der Scientifica 2023 ;188;188;1 year;4 minutes;0;4 minutes;0;0;4;0
Taking Climate to Court | UZH Spotlight ;186;186;2 years;57 seconds;0;FALSE;0;0;0;57
Season's Greetings  2018 ;184;184;6 years;53 seconds;0;FALSE;0;0;0;53
Zurich Seed Bank | UZH Research Spotlight ;182;182;1 year;1 minute, 33 seconds;0;1 minute;33 seconds;0;1;33
Vodka, Benzodiazepines & Co: A Dangerous Mix for Young People ;181;181;2 years;1 minute, 1 second;0;1 minute;1 second;0;1;1
Communication Makes Hunting Easier for Chimpanzees | UZH Spotlight ;181;181;2 years;53 seconds;0;FALSE;0;0;0;53
Scientifica 2021 - Die Zürcher Wissenschaftstage ;181;181;3 years;2 minutes, 1 second;0;2 minutes;1 second;0;2;1
Preventing Social Decline | UZH Spotlight ;180;180;2 years;1 minute, 2 seconds;0;1 minute;2 seconds;0;1;2
Genome-edited plants and sustainable agriculture | UZH Spotlight ;179;179;2 years;40 seconds;0;FALSE;0;0;0;40
Innovathon 2021 - it was a wrap! ;179;179;3 years;1 minute, 35 seconds;0;1 minute;35 seconds;0;1;35
Wie Elvis sein - Vorbilder und unser Ich ;175;175;4 years;3 minutes, 49 seconds;0;3 minutes;49 seconds;0;3;49
Risiken und Nebenwirkungen des mobilen Internet - Medienpsychologie (2016) ;171;171;4 years;5 minutes, 31 seconds;0;5 minutes;31 seconds;0;5;31
"""Education is liberation"" – Honorary Doctor Vetsuisse Faculty 2022 ";167;167;2 years;3 minutes, 40 seconds;0;3 minutes;40 seconds;0;3;40
Rising News Deprivation Has Negative Consequences for Democracy | UZH Spotlight ;166;166;2 years;44 seconds;0;FALSE;0;0;0;44
Innovators Camp – Wrap Up | UZH Innovation Hub ;164;164;2 years;2 minutes, 1 second;0;2 minutes;1 second;0;2;1
Räume & Ressourcen – Wo, wie und womit erfolgreich forschen? | Antrittsvorlesungen als Podium ;162;162;3 years;43 minutes;0;43 minutes;0;0;43;0
🚀 Meet the lecturers - Digital Ventures Seminar 2021 ;161;161;3 years;58 seconds;0;FALSE;0;0;0;58
More Broccoli, Less Steak 🥦🥩 | UZH Spotlight ;158;158;2 years;55 seconds;0;FALSE;0;0;0;55
Workouts for the Brain | UZH Spotlight ;157;157;2 years;49 seconds;0;FALSE;0;0;0;49
"""Women are not little men"" – Honorary Doctor Faculty of Medicine 2022 ";157;157;2 years;2 minutes, 59 seconds;0;2 minutes;59 seconds;0;2;59
Kickoff - Digital Entrepreneurship Bootcamp 2020 ;155;155;4 years;2 minutes, 18 seconds;0;2 minutes;18 seconds;0;2;18
Research in Weightlessness ✈️ | UZH Spotlight ;154;154;2 years;45 seconds;0;FALSE;0;0;0;45
Digital Ventures Program 2022 | Wrap Up ;152;152;2 years;1 minute, 30 seconds;0;1 minute;30 seconds;0;1;30
Entwicklungspsychologie – Prof. Dr. Moritz Daum  | UZH Research Spotlight ;150;150;2 weeks;2 minutes, 56 seconds;0;2 minutes;56 seconds;0;2;56
Lifelong Learning | UZH Research Spotlight ;147;147;1 year;1 minute, 33 seconds;0;1 minute;33 seconds;0;1;33
Nachhaltige Digitalisierung | UZH Spotlight ;147;147;2 years;48 seconds;0;FALSE;0;0;0;48
"""I am moved by the question of reconciliation"" – Honorary Doctor Faculty of Theology 2022 ";147;147;2 years;3 minutes, 35 seconds;0;3 minutes;35 seconds;0;3;35
Unlocking the Data Treasure Chest | UZH Spotlight ;146;146;2 years;1 minute, 7 seconds;0;1 minute;7 seconds;0;1;7
Wie Insekten die Evolution von Pflanzen beeinflussen ;146;146;2 years;2 minutes, 24 seconds;0;2 minutes;24 seconds;0;2;24
"""Cosmology interests most people"" – Honorary Doctor Faculty of Science 2022 ";141;141;2 years;3 minutes, 27 seconds;0;3 minutes;27 seconds;0;3;27
Heart Attacks In Women | UZH Spotlight ;140;140;2 years;51 seconds;0;FALSE;0;0;0;51
Climate change: Have Science and Education Failed? ;140;140;4 years;26 minutes;0;26 minutes;0;0;26;0
Nachhaltigkeitswoche ;140;140;12 years;6 minutes, 21 seconds;0;6 minutes;21 seconds;0;6;21
Student Stories UZH | Veterinärmedizin ;139;139;3 weeks;2 minutes, 46 seconds;0;2 minutes;46 seconds;0;2;46
Austauschsemester: Myanmar rückt näher ;139;139;7 years;5 minutes, 10 seconds;0;5 minutes;10 seconds;0;5;10
Student Stories UZH | English Literature & Linguistics ;137;137;3 weeks;2 minutes, 8 seconds;0;2 minutes;8 seconds;0;2;8
Most Swiss People Trust Science | UZH Spotlight ;135;135;2 years;43 seconds;0;FALSE;0;0;0;43
Remote Sensing: The Oracle of Leaves | UZH Spotlight ;134;134;2 years;53 seconds;0;FALSE;0;0;0;53
🚀 Financial Management & Intellectual Property - Digital Ventures Seminar 2021 ;134;134;3 years;2 minutes, 9 seconds;0;2 minutes;9 seconds;0;2;9
Student Stories UZH | Geographie ;132;132;3 weeks;2 minutes, 36 seconds;0;2 minutes;36 seconds;0;2;36
Shaping Resilient Societies | Panel at UN High Level Political Forum ;127;127;3 years;1 hour, 30 minutes;1 hour;30 minutes;0;1;30;0
BEST OF Shaping Resilient Societies | Panel at UN High Level Political Forum ;124;124;3 years;9 minutes, 21 seconds;0;9 minutes;21 seconds;0;9;21
🚀 Leadership, Self-Management & Personal Resilience - Digital Ventures Seminar 2021 ;121;121;3 years;1 minute, 59 seconds;0;1 minute;59 seconds;0;1;59
🚀 Company Founding and Entrepreneurial Finance in Switzerland - Digital Ventures Seminar 2021 ;116;116;3 years;3 minutes, 3 seconds;0;3 minutes;3 seconds;0;3;3
Center for Research in Sports Administration ;116;116;12 years;5 minutes, 15 seconds;0;5 minutes;15 seconds;0;5;15
"""The rule of law is crucial for a democratic state"" – Honorary Doctor Faculty of Law 2022 ";114;114;2 years;3 minutes, 35 seconds;0;3 minutes;35 seconds;0;3;35
Dynamische Entscheidungsmodelle - Wirtschaftswissenschaft (2015) ;114;114;4 years;4 minutes, 31 seconds;0;4 minutes;31 seconds;0;4;31
Vulnerable Prehistoric Giants | UZH Spotlight ;113;113;2 years;53 seconds;0;FALSE;0;0;0;53
Infants and the Covid-19 Pandemic | UZH Spotlight ;107;107;2 years;45 seconds;0;FALSE;0;0;0;45
"""I study the economics of education"" – Honorary Doctor Faculty of Business and Economics 2022 ";102;102;2 years;3 minutes, 40 seconds;0;3 minutes;40 seconds;0;3;40
Mehltau: Ein anpassungsfähiger Pilz ;94;94;2 years;2 minutes, 5 seconds;0;2 minutes;5 seconds;0;2;5
SCIENTIFICA TRAILER 2023 – What holds the world together ;89;89;1 year;38 seconds;0;FALSE;0;0;0;38
A Fountain of Youth for Blood Vessels | UZH Spotlight ;89;89;2 years;51 seconds;0;FALSE;0;0;0;51
Longer and more frequent heat waves | UZH Spotlight ;88;88;2 years;44 seconds;0;FALSE;0;0;0;44
Gestures Can Improve Understanding in Language Disorders | UZH Spotlight ;84;84;2 years;38 seconds;0;FALSE;0;0;0;38
🚀 40 UZH participants - Digital Ventures Seminar 2021 ;84;84;3 years;1 minute, 45 seconds;0;1 minute;45 seconds;0;1;45
Early Self-Regulation Boosts Children’s Educational Success | UZH Spotlight ;83;83;2 years;34 seconds;0;FALSE;0;0;0;34
Microinsurances - Climate change and insurance markets (2016) ;80;80;4 years;5 minutes, 22 seconds;0;5 minutes;22 seconds;0;5;22
🚀 Closing session - Digital Ventures Seminar 2021 ;74;74;3 years;1 minute, 28 seconds;0;1 minute;28 seconds;0;1;28
Märkte ohne Geld - Mechanismen und Strategyproofness (2017) ;69;69;4 years;3 minutes, 26 seconds;0;3 minutes;26 seconds;0;3;26
Hochzeitsreise? Völkerkundemuseum macht Forschung zu Ostafrika-Sammlung sichtbar | UZH Spotlight ;65;65;2 years;43 seconds;0;FALSE;0;0;43;0
🚀 The Kick-off - Digital Ventures Seminar 2021 ;65;65;3 years;1 minute, 12 seconds;0;1 minute;12 seconds;0;1;12
Desinformation in digitalen Medien | UZH Research Spotlight ;50;50;20 hours;1 minute, 22 seconds;0;1 minute;22 seconds;0;1;22
