Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
Talk im Turm: Krebs heilen? ; 2,459;2459;6 years;1 hour, 18 minutes;1 hour;18 minutes;0;1;18;0
Gamen in der Gangtherapie ; 2,456;2456;10 years;5 minutes, 16 seconds;0;5 minutes;16 seconds;0;5;16
Are You Ready? | Fall Semester 2022 | University of Zurich ; 2,351;2351;2 years;39 seconds;0;FALSE;0;0;0;39
Latein und Griechisch studieren in Zürich ; 2,351;2351;5 years;4 minutes, 11 seconds;0;4 minutes;11 seconds;0;4;11
UZH Flying Robots ; 2,330;2330;7 years;1 minute, 34 seconds;0;1 minute;34 seconds;0;1;34
Peter Debye - Nobel Prize in Chemistry 1936 ; 2,328;2328;4 years;4 minutes, 27 seconds;0;4 minutes;27 seconds;0;4;27
Bouldern an der Universität Zürich ; 2,316;2316;13 years;4 minutes, 13 seconds;0;4 minutes;13 seconds;0;4;13
K. Alex Müller - Nobel Prize in Physics 1987 ; 2,241;2241;4 years;5 minutes, 7 seconds;0;5 minutes;7 seconds;0;5;7
„Die Lernatmosphäre ist ganz anders als am Gymi“ | Student Stories ; 2,143;2143;2 years;2 minutes, 41 seconds;0;2 minutes;41 seconds;0;2;41
Neuer Linearbeschleuniger am Universitätstierspital Zürich ; 2,109;2109;12 years;5 minutes, 14 seconds;0;5 minutes;14 seconds;0;5;14
Karriereplanung an der UZH ; 2,071;2071;10 years;4 minutes, 28 seconds;0;4 minutes;28 seconds;0;4;28
Das Institut für Medizinische Mikrobiologie neu an der Gloriastrasse ; 2,070;2070;7 years;2 minutes, 27 seconds;0;2 minutes;27 seconds;0;2;27
„Die Uni ist wie eine eigene kleine Welt“ | Student Stories ; 2,066;2066;2 years;2 minutes, 45 seconds;0;2 minutes;45 seconds;0;2;45
Herbstsemester 2017: Willkommen an der UZH! ; 2,032;2032;7 years;46 seconds;0;FALSE;0;0;0;46
My Studies. Our Future. ; 1,993;1993;2 years;3 minutes, 57 seconds;0;3 minutes;57 seconds;0;3;57
Von der Forschung zur Innovation: Gentherapie heilt Immundefekte ; 1,945;1945;3 years;2 minutes, 37 seconds;0;2 minutes;37 seconds;0;2;37
Fall Semester 2017: Welcome to the University of Zurich ; 1,935;1935;7 years;47 seconds;0;FALSE;0;0;0;47
UNI-POLY Ruderregatta 2016 ; 1,909;1909;8 years;5 minutes, 18 seconds;0;5 minutes;18 seconds;0;5;18
20 Jahre Moulagenmuseum ; 1,902;1902;11 years;4 minutes, 4 seconds;0;4 minutes;4 seconds;0;4;4
Dritte Orang-Utan-Art beschrieben ; 1,897;1897;7 years;2 minutes, 51 seconds;0;2 minutes;51 seconds;0;2;51
Moosforschung ; 1,892;1892;13 years;4 minutes, 39 seconds;0;4 minutes;39 seconds;0;4;39
«Talk im Turm» zum Thema Intelligenz ; 1,861;1861;11 years;1 hour, 17 minutes;1 hour;17 minutes;0;1;17;0
Botschaft von Gabriele Siegert an die Studierenden der UZH ; 1,840;1840;5 years;2 minutes, 46 seconds;0;2 minutes;46 seconds;0;2;46
„Ich war überrascht, dass ich meine Module selber frei auswählen konnte“ | Student Stories ; 1,810;1810;2 years;2 minutes, 38 seconds;0;2 minutes;38 seconds;0;2;38
Vom Verständnis der Sprachen ; 1,810;1810;4 years;7 minutes, 47 seconds;0;7 minutes;47 seconds;0;7;47
Talk im Turm: «Die Schöpfung – bei Licht betrachtet» ; 1,789;1789;9 years;1 hour, 18 minutes;1 hour;18 minutes;0;1;18;0
Multiple-Sklerose-Studie ; 1,741;1741;8 years;4 minutes, 34 seconds;0;4 minutes;34 seconds;0;4;34
Lehre an der UZH: Laborant*in Fachrichtung Chemie ; 1,731;1731;2 years;4 minutes, 5 seconds;0;4 minutes;5 seconds;0;4;5
UZH Lehrpreis 2018: Silja Häusermann ; 1,710;1710;4 years;3 minutes, 52 seconds;0;3 minutes;52 seconds;0;3;52
Talk im Turm: Risiko ; 1,699;1699;11 years;1 hour, 21 minutes;1 hour;21 minutes;0;1;21;0
Willkommen an der UZH 2014 ; 1,693;1693;10 years;1 minute, 29 seconds;0;1 minute;29 seconds;0;1;29
Aufgefallen: UZH-Alumna Doris Leuthard, Teil 1 ; 1,648;1648;5 years;3 minutes, 22 seconds;0;3 minutes;22 seconds;0;3;22
Study Computer Sciences at UZH ; 1,619;1619;4 years;3 minutes, 44 seconds;0;3 minutes;44 seconds;0;3;44
Talk im Turm: Mein Zwingli. Die Reformation in unseren Köpfen. ; 1,615;1615;7 years;1 hour, 10 minutes;1 hour;10 minutes;0;1;10;0
Have you ever wondered if carbon can be magnetic? ; 1,599;1599;2 years;1 minute, 48 seconds;0;1 minute;48 seconds;0;1;48
Dean Falk: Wie kam der Mensch zur Sprache? ; 1,582;1582;13 years;4 minutes, 50 seconds;0;4 minutes;50 seconds;0;4;50
Fall Semester 2018: Welcome to the University of Zurich ; 1,552;1552;6 years;58 seconds;0;FALSE;0;0;0;58
Congratulations to all graduates 2020!  ; 1,543;1543;4 years;7 minutes, 45 seconds;0;7 minutes;45 seconds;0;7;45
Prion Protein - Wie Farbe das Leben verlängert - Neurowissenschaft (2016) ; 1,501;1501;4 years;4 minutes, 33 seconds;0;4 minutes;33 seconds;0;4;33
Ethnographische Filme an der Universität Zürich ; 1,493;1493;13 years;3 minutes, 25 seconds;0;3 minutes;25 seconds;0;3;25
🚀 Digital Entrepreneurship ; 1,483;1483;3 years;1 minute, 29 seconds;0;1 minute;29 seconds;0;1;29
„Für Kunstgeschichte brauchst du einen guten Rucksack“ | Student Stories ; 1,474;1474;2 years;2 minutes, 46 seconds;0;2 minutes;46 seconds;0;2;46
Lehre an der UZH: Polymechaniker*in ; 1,466;1466;2 years;2 minutes, 50 seconds;0;2 minutes;50 seconds;0;2;50
Talk im Turm Auf Weltreise. Indische Götter und ein chinesischer Philosoph. ; 1,462;1462;12 years;1 hour, 20 minutes;1 hour;20 minutes;0;1;20;0
UNI-POLY rowing race 2017 – filmed with a GoPro camera ; 1,455;1455;7 years;3 minutes, 8 seconds;0;3 minutes;8 seconds;0;3;8
Walter Rudolf Hess - Nobel Prize in Physiology/Medicine 1949 ; 1,446;1446;4 years;6 minutes, 8 seconds;0;6 minutes;8 seconds;0;6;8
Ist Klingonisch eine echte Sprache? / Is Klingon a real language? ; 1,396;1396;5 years;1 minute, 34 seconds;0;1 minute;34 seconds;0;1;34
Kinder-Universität Zürich ; 1,363;1363;8 years;1 minute, 35 seconds;0;1 minute;35 seconds;0;1;35
Talk im Turm: Konflikte und Krisen ; 1,351;1351;10 years;1 hour, 8 minutes;1 hour;8 minutes;0;1;8;0
Zukunft braucht Herkunft ; 1,349;1349;4 years;11 minutes, 12 seconds;0;11 minutes;12 seconds;0;11;12
Talk im Turm: Wurmlöcher und die Wiege der Moderne ; 1,327;1327;7 years;1 hour, 9 minutes;1 hour;9 minutes;0;1;9;0
175 Jahre Alter Botanischer Garten ; 1,318;1318;12 years;5 minutes, 33 seconds;0;5 minutes;33 seconds;0;5;33
Lehre an der UZH: Laborant*in Fachrichtung Biologie ; 1,310;1310;2 years;4 minutes, 5 seconds;0;4 minutes;5 seconds;0;4;5
UZH Lehrpreis 2017: Greta Patzke ; 1,310;1310;4 years;6 minutes, 17 seconds;0;6 minutes;17 seconds;0;6;17
Visit Zurich as an International Exchange Student | University of Zurich ; 1,302;1302;1 year;4 minutes, 33 seconds;0;4 minutes;33 seconds;0;4;33
Spiritual Care - Alternative Sterbebegleitung (2019) ; 1,290;1290;4 years;4 minutes, 49 seconds;0;4 minutes;49 seconds;0;4;49
Talk im Turm: Mozart & Goldkehlen ; 1,267;1267;9 years;1 hour, 20 minutes;1 hour;20 minutes;0;1;20;0
Herbstsemester 2018: Willkommen an der UZH! ; 1,265;1265;6 years;58 seconds;0;FALSE;0;0;0;58
Talk im Turm: Was uns die Zukunft bringt ; 1,261;1261;5 years;1 hour;#N/A;#N/A;#N/A;1;0;0
Willkommen im Herbstsemester 2019 / Welcome to the fall semester 2019 ; 1,247;1247;5 years;1 minute, 55 seconds;0;1 minute;55 seconds;0;1;55
Aufgefallen: UZH-Alumna Doris Leuthard, Teil 2 ; 1,221;1221;5 years;3 minutes, 30 seconds;0;3 minutes;30 seconds;0;3;30
UNI-POLY Ruderregatta 2015 ; 1,219;1219;9 years;4 minutes, 38 seconds;0;4 minutes;38 seconds;0;4;38
Talk im Turm: Geld und Geist ; 1,216;1216;6 years;1 hour, 12 minutes;1 hour;12 minutes;0;1;12;0
A Warm Welcome To Our New International Exchange Students! ; 1,215;1215;2 years;1 minute, 1 second;0;1 minute;1 second;0;1;1
Die Zentral Bibliothek: Eine Institution für jede Generation ; 1,213;1213;7 years;1 minute, 50 seconds;0;1 minute;50 seconds;0;1;50
Religion ist Gefahr und Ressource zugleich ; 1,206;1206;4 years;12 minutes, 37 seconds;0;12 minutes;37 seconds;0;12;37
Talk im Turm: Die Welt retten. Nachhaltig anlegen und smart recyclen ; 1,197;1197;5 years;1 hour, 11 minutes;1 hour;11 minutes;0;1;11;0
The Social Life of Dolphins ; 1,196;1196;4 years;6 minutes, 3 seconds;0;6 minutes;3 seconds;0;6;3
Kleintierklinik der Universität Zürich ; 1,147;1147;13 years;6 minutes, 9 seconds;0;6 minutes;9 seconds;0;6;9
Erster MOOC-Kurs der UZH: Informatik für Ökonomen von Prof. Bernstein ; 1,142;1142;11 years;1 minute, 30 seconds;0;1 minute;30 seconds;0;1;30
Let's study safely! ; 1,141;1141;3 years;23 seconds;0;FALSE;0;0;0;23
FORUM UZH - Das Bauprojekt wurde weiter optimiert ; 1,129;1129;4 years;1 minute, 41 seconds;0;1 minute;41 seconds;0;1;41
Interview mit UZH-Rektor Michael Hengartner ; 1,129;1129;8 years;2 minutes, 38 seconds;0;2 minutes;38 seconds;0;2;38
Dem Hirn beim Denken zuschauen ; 1,124;1124;9 years;4 minutes, 8 seconds;0;4 minutes;8 seconds;0;4;8
UZH International Summer Schools 2021 - Testimonials ; 1,107;1107;3 years;1 minute, 57 seconds;0;1 minute;57 seconds;0;1;57
Wahrnehmungsspaziergang ; 1,099;1099;10 years;4 minutes, 19 seconds;0;4 minutes;19 seconds;0;4;19
Europäisches Jugendparlament ; 1,093;1093;11 years;7 minutes, 42 seconds;0;7 minutes;42 seconds;0;7;42
Just ask, we answer | Where do we have microwaves at UZH? ; 1,092;1092;5 years;2 minutes, 44 seconds;0;2 minutes;44 seconds;0;2;44
